지점,일시,1시간평균 미세먼지농도(㎍/㎥)
90,41696.29167,103
90,41696.33333,101
90,41696.375,100
90,41696.41667,109
90,41696.45833,111
90,41696.5,111
90,41696.54167,104
90,41696.58333,100
90,41696.625,123
90,41696.66667,126
90,41696.70833,127
90,41696.75,106
90,41696.79167,86
90,41696.83333,73
90,41696.875,57
90,41696.91667,63
90,41696.95833,77
90,41697,83
90,41697.04167,74
90,41697.08333,52
90,41697.125,51
90,41697.16667,63
90,41697.20833,81
90,41697.25,84
90,41697.29167,98
90,41697.33333,100
90,41697.375,110
90,41697.41667,105
90,41697.45833,121
90,41697.5,122
90,41697.54167,113
90,41697.58333,108
90,41697.625,88
90,41697.66667,92
90,41697.70833,79
90,41697.75,105
90,41697.79167,117
90,41697.83333,94
90,41697.875,94
90,41697.91667,94
90,41697.95833,94
90,41698,88
90,41698.04167,91
90,41698.08333,96
90,41698.125,75
90,41698.16667,57
90,41698.20833,39
90,41698.25,31
90,41698.29167,46
90,41698.33333,33
90,41698.375,35
90,41698.41667,40
90,41698.45833,38
90,41698.5,48
90,41698.54167,39
90,41698.58333,41
90,41698.625,32
90,41698.66667,43
90,41698.70833,40
90,41698.75,37
90,41698.79167,35
90,41698.83333,47
90,41698.875,37
90,41698.91667,47
90,41698.95833,43
90,41699,49
90,41699.04167,39
90,41699.08333,40
90,41699.125,51
90,41699.16667,71
90,41699.20833,48
90,41699.25,43
90,41699.29167,29
90,41699.33333,24
90,41699.375,32
90,41699.41667,43
90,41699.45833,201
90,41699.54167,25
90,41699.58333,18
90,41699.625,15
90,41699.66667,16
90,41699.70833,16
90,41699.75,15
90,41699.79167,9
90,41699.83333,8
90,41699.875,4
90,41699.91667,6
90,41699.95833,3
90,41700,4
90,41700.04167,14
90,41700.08333,6
90,41700.125,9
90,41700.16667,11
90,41700.20833,8
90,41700.25,18
90,41700.29167,11
90,41700.33333,13
